STRING,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C,bad,frequencyBin,Pseudohomophone,category,ELP_FreqHAL,ELP_OrthN,ELP_PhonoN,ELP_MeanOrthNFreq,ELP_Concreteness,ELP_EmotionalValence,ELP_EmotionalArousal,ELP_MeanBigramCount,ELP_NPhonemes,ELP_NSyllables,ELP_PartOfSpeech,ELP_MeanRT,ELP_MeanAcc,ELPMeanAcc
heain,5,0,0,0,7485.76,334,1857.81,48.25,587.73,7.67,347983.01,41006.8,58732.47,4974.75,2672.36,300.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
heald,5,0,3,95.31,9862.91,385.8,2998.33,45.5,255.72,8,296844.64,33656.8,46222.61,2732.25,1630.89,210.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
heang,5,0,0,0,7733.56,326.4,2485.5,58.25,376.09,8.33,303700.51,34667.4,60698.54,4814.5,2094.03,334.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
heile,5,0,0,0,12079.59,400.4,1546.05,38.75,254.97,3.33,352548.44,43416.6,41032.21,2828.75,1723.15,123,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
heill,5,0,0,0,9034.31,329.6,1565.61,35,334.49,4.67,282299.1,36591.4,39629.03,2236,2802.84,213.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
hents,5,0,11,4.09,7290.88,591.8,696.3,79,84.44,11.67,341724.8,40770.6,50117.75,4039.25,7341.29,933.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
hevin,5,0,0,0,5748.5,245.6,905.87,22.25,9.24,0.67,279853.32,33757.2,53181.47,4417.25,833.59,139.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
hexte,5,0,0,0,7710.78,332.8,671.36,22,3.33,1,337334.27,35810.8,39294.69,2876.25,481.42,82,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
higod,5,0,0,0,6203.42,273,802.88,14,0.34,0.67,224736.52,26394.8,12328.4,1221.5,370.05,39,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
hoids,5,0,3,11.01,10832.61,612.8,1211.45,46.75,7.32,3,260679.2,33230.2,9853.74,1222.5,152.16,55.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
hoost,5,0,3,3.75,10629.13,370.6,1447.9,49.5,39.68,6,309374.32,33622.6,18406.51,2942.75,1314.91,200.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
hould,5,0,4,1208.27,11408.37,370.2,5220.79,38,3487.75,4.67,204437.52,22944,21285.26,1893.75,5735.82,122.33,NaN,0,NaN,pseudo,NaN,4,NaN,1058.25,NaN,NaN,NaN,NaN,NaN,NaN,,734.516,NaN,0.912
houls,5,0,5,47.36,11785.8,604.2,3902.31,63.5,1882.93,5.67,223900.32,28881.6,19419.72,2037,3796.33,148.33,NaN,0,NaN,pseudo,NaN,4,NaN,1079.75,NaN,NaN,NaN,NaN,NaN,NaN,,853,NaN,0.636
huing,5,0,2,0.57,7166.47,282.4,2511.41,43.5,936.85,9,207753.4,26970.2,30446.16,5532,10028.44,2382,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
idere,5,0,0,0,9193.47,247,2505.12,23.5,1479.45,1.33,351462.22,47175.8,38780.07,5942.25,7041.58,748,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
inted,5,0,3,0.73,7829.51,339.8,1709.11,85,69.39,8.33,334406.33,42031.6,45591.84,8097.25,5203.59,1081.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
juiel,5,0,0,0,8413.07,412.4,603.49,31.75,37.66,1.67,224027.69,32152.4,8341.84,1885.75,181.67,42.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
