STRING,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C,bad,frequencyBin,Pseudohomophone,category,ELP_FreqHAL,ELP_OrthN,ELP_PhonoN,ELP_MeanOrthNFreq,ELP_Concreteness,ELP_EmotionalValence,ELP_EmotionalArousal,ELP_MeanBigramCount,ELP_NPhonemes,ELP_NSyllables,ELP_PartOfSpeech,ELP_MeanRT,ELP_MeanAcc,ELPMeanAcc
acids,5,6.19,0,0,8089.11,486.6,487.87,32,10.87,3,246797.04,36990.8,9036.92,1592.5,371,139,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
aided,5,5.35,7,20.44,10118.54,437.6,1120.93,84.25,123.61,10.33,308263.63,39222.2,21309.28,3574,3302.64,315,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
aisle,5,7.62,1,0.24,10240.08,351.8,532.3,20.5,7.77,1.67,328451.76,46793,19086.91,3174.75,334.21,92,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
allah,5,6.01,1,1.67,5459,255.8,276.76,16.75,40.44,3,269668.8,30971.8,16790.14,2913.25,3576.52,536.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
alley,5,9.76,2,1.43,7922.88,459.8,480.85,29.5,42.42,3,264578.79,34623.8,21537.45,3453.5,4199.99,619.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
amuse,5,5.47,1,16.12,9392.74,259,1358.49,28.25,253.93,5,277483.49,37890.8,13992.45,2059.25,1814.65,182.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
apron,5,7.73,0,0,5105.06,218.4,186.24,21,27.01,2.67,262620.15,33934.2,21534.1,3523.5,2197.78,416.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
arena,5,5.77,1,0,8250.38,280.6,706.43,31.5,60.74,3.33,362893,45097.8,35747.86,5078.25,3521.44,288,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
array,5,7.91,1,0.36,6865.33,360,212.46,18.25,17.19,3,265821.8,34310,15797.19,2900.25,715.22,181.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
arrow,5,7.73,0,0,5187.95,249.6,191.83,16,33.93,2.33,256605.22,31770.4,18059.8,2617.75,1128.16,223,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
asset,5,7.91,1,1.13,8246.33,338.4,331.33,25.75,24.45,3.67,364541.72,49063.8,21495.78,2989.25,1690.09,376.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
attic,5,6.84,0,0,5075.27,161.8,252.89,13.5,7.3,1.67,317644.49,37869.2,25304.26,5149.25,2104.38,523,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
await,5,6.19,0,0,7847.64,274.4,521.08,23,53.78,3.67,310699,35063.4,18437.21,1615,665.94,64.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
award,5,9.7,2,49.59,8496.4,293,915.95,30.5,236.54,6.67,253038.67,29849.2,15244.23,1833.25,1959.08,299.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
awoke,5,5.95,1,25.94,8250.44,289.2,295.52,13.75,92.99,3.33,269929.76,29737,6580.11,708.75,445.07,54.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
badge,5,6.84,4,1.53,7656.81,399,438.61,41.5,64.43,6.67,243959.26,30765.2,8620.66,1348.25,367.59,80.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
baits,5,9.58,3,1.98,9974.29,697.2,854.17,87,59.25,10.33,281885.01,37991.8,16622.7,2247.25,1015.78,85,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
baron,5,6.37,3,7.14,6195.68,384.8,726.59,57,14.6,6.67,260165.59,32807.6,26870.69,4171.5,841.62,232.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
baths,5,7.14,6,3.56,7358.41,590,525.57,40.5,28.06,8.33,269740.69,30793.2,44432.16,2760.75,1015.44,223,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
beads,5,9.22,12,14.16,8633.11,626.8,1970.33,69,197.67,11,279901.93,37600.6,16707.9,1719.75,1401.21,215,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
beats,5,7.97,16,7.44,9249.36,664.8,1886.89,98.25,194.44,15.33,325057.06,41008.6,25363.37,3531.75,1535.01,232.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
belts,5,6.37,10,3.03,7388.87,617.6,840.66,82.5,70.14,11.33,282708.88,38501.6,12881.79,1871.75,591.08,88.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bingo,5,5.59,5,0.44,3993.4,293.2,423.69,45.75,33.91,10,213117.42,29575.8,31236.96,5669,10102.9,2425.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bites,5,5.83,8,5.1,10475.56,710.8,1869.02,117,110,11.67,309786.19,42310,27800.79,6021.5,1756.25,550.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bland,5,5.77,7,12.69,8831.71,377.6,1335.48,52.5,290.4,10.33,214250.86,28379.4,33092.23,3460,11764.36,493.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
blaze,5,5.59,6,8.68,8357.95,354,712.2,36.5,154.52,6.33,228458.78,29483.4,6037.35,1657.5,286.56,94.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
blend,5,6.84,5,12.02,9539.51,336,864.53,33.75,51.58,5.67,242152.04,32697.6,31392.47,4043,2832.39,597.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bliss,5,8.69,2,5.71,9462.35,570,616.91,36.5,33.18,3.33,213844.52,38014.4,18362.59,3747.25,1255.02,330.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bloom,5,6.07,3,55.51,4734.93,265.4,780.11,40.25,210.11,7.67,197062.82,24262.4,12569.32,1956.75,1180.49,153.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bluff,5,6.13,1,1.67,4226.25,208.2,321.31,28.5,34.96,5.33,108783.3,14831.4,3994.91,984.75,238.96,110,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
blunt,5,6.48,2,0.92,8449.65,309.6,1079.97,45,66.27,10,206630.91,27107,13307.28,2538,920.37,179.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
boast,5,5.12,6,18.08,11129.95,431.4,1050.97,47.75,225.93,6,285425.01,34976.2,18964.55,2823.5,1231.18,296.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bonus,5,8.8,3,19.87,9140.23,616.4,356.18,39.75,33.49,4.67,211555.89,30429.4,18281.28,2828.5,116.8,55.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
boost,5,7.56,2,3.66,11017.43,404.6,1277.5,53,104.98,7.67,273694.15,33262,15216.3,2804,1213.08,206,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
booth,5,9.16,4,11.85,9504.42,407.6,888.12,56.25,128.39,11.33,269889.65,25567.4,40123.36,1637.25,2070.17,225.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bosom,5,7.32,1,0.12,5630.75,305.6,227.31,27.25,8.21,2.67,215800.29,28566.8,12206.85,1519,1194.3,73.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bowel,5,9.94,6,5.58,9639.46,461.2,604.77,46.5,200.11,11.33,234615.01,28333.4,13271.18,1530.75,1190.83,128,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bowls,5,7.97,8,0.74,10310.61,601.6,551.39,57.75,19.87,7.33,183103.14,25812.6,6509.1,922,217.15,64,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
boxer,5,7.08,5,5.39,10943.71,469.8,2054.85,72.25,26.57,4.33,232164.36,29645.2,18500.12,3207,112.52,41.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bribe,5,5.29,3,12.51,9666.35,362,670.25,38.25,116.98,6,240443.82,34482.2,11928.37,2106.5,863.54,163,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
brink,5,6.19,8,43.59,8145.94,329.6,2053.17,64.75,530.74,11,186496.79,28462,26564.8,4917.75,2116.08,485.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
brisk,5,8.69,3,11.7,7686.33,308.8,722.81,44.5,132.71,8.33,181898.52,30858,14961.33,2842,1070.75,233,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
broom,5,6.9,4,4.73,5242.23,285.4,872.31,46.75,104.29,8,211634.91,26264.6,13801.87,2013.25,963.72,201.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
brute,5,5.24,0,0,9618.17,384.4,947.02,38.25,76.21,4,268116.6,34026,14553.59,2828,479.79,104,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bucks,5,6.19,13,3.01,5041.31,527,432.96,59.5,82.04,17.67,119142.18,21530.2,5219.82,1002.75,333.64,176.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
buddy,5,5.18,2,6.75,3733.09,318.6,228.81,28.25,25.84,5.67,119356.52,16101,3394.43,529.5,163.94,44.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bulbs,5,5.29,2,3.51,5114.82,536.4,194.1,31,12.87,3,136855.65,23977.4,5233.06,831,76.63,56.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bulky,5,5.65,4,1.93,3586.96,358,204.31,37,18.2,5.33,93026.56,14513.2,5303.75,785,89.95,62.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
bulls,5,6.78,15,5.6,7488.26,583.4,594.26,69.75,199.48,22,157602.85,27728.2,11290.08,1746,646.96,212.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
burns,5,8.21,6,11.73,8123.47,604,402.39,54.5,76.94,9,195510.68,31638.8,10497.78,1917.25,694.26,137,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
cafes,5,5.71,9,16.52,9904.02,745.4,1126.27,106,10.57,3,275653.38,37344.6,15585.47,4128.75,207,46.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
camel,5,8.69,1,0.95,8400.02,494.8,744.55,49.25,82.38,6,258492.88,34416,17046.39,2632.5,1675.04,178.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
candy,5,6.72,7,4.03,5620.38,442.8,668.71,57,146.17,10.33,206259.82,26730,31927.98,2982.25,11975.33,391.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
cares,5,7.85,22,10.14,11420.29,812.4,1849.99,145.25,115.26,21.33,305266.5,43643,35581.65,6792.5,5205.26,667.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
cargo,5,6.07,1,0.24,5165.55,366.4,778.15,52,188.97,7.67,229691.79,30775.2,14236.05,2315,1010.9,187,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
cents,5,8.09,11,2.46,7952.18,632,503.07,72.75,76.45,11.67,316111.78,42817,25475.54,3932.5,6473.29,1003.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
chalk,5,9.88,0,0,10646.5,318.2,775.35,40.75,162.06,8.33,188859.96,22266.8,22235.13,2421.75,1532.83,260.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
chase,5,9.16,5,15.91,13112.54,383.2,1843.47,59.5,110.95,10,305627.39,38250.6,29266.28,2668.5,2175.61,262,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
cheer,5,9.22,3,18.56,14354.41,432.4,4643.69,84,143.79,8,329363.18,40266.6,53942.38,4520,1106.51,358,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
chips,5,9.7,7,6.65,11352.24,548.8,2097.52,56.25,254.45,11,201814.55,30102.6,12926.18,1563.5,1183.35,307,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
choir,5,6.96,1,110.66,11153.86,302.6,1670.59,32.25,22.59,4.33,246559.1,31217.4,13183.83,1655.25,430.75,89.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
cited,5,6.25,2,2.35,10371.13,483,1627.44,90.25,71.95,9.67,300390.54,38779.4,29712.41,4999.75,3313.93,685.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
civic,5,6.54,1,66.04,5219.45,252.8,415.42,21,56.24,2.67,177052.47,29534.6,9904.12,1986.75,762.54,114.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
clash,5,9.04,6,41.96,7515.14,325.8,1124.78,52,256.02,13,235378.05,31425.4,16268.52,2336.5,1044.61,273,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
claws,5,7.62,7,31.4,7690.8,565.2,880.39,44.25,112.44,7,204901.16,29933.8,5583.99,1282.5,437.51,108.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
click,5,5.71,8,6.38,7473.53,288.8,1670.75,42.25,126.03,8.33,147976.06,25614.6,12094.37,2810.75,1172.68,311.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
cling,5,7.14,6,3.43,8172.27,300.4,2549.07,54.5,974.81,13.33,192567.27,31190,35172.19,6677.5,11096.57,2781,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
cloak,5,7.2,2,18.86,6133.95,298.4,743.96,35,125.43,6.67,204544.28,26449.8,5989.7,1148.75,403.48,101,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
cocoa,5,5.06,1,0,5816.98,312.6,786.39,30.5,6.31,2.67,252262.16,30753,12288.41,2483.5,145.76,95.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
colds,5,5.12,6,6.96,8920.61,626.6,1185.99,63.25,32.54,6.33,207988.87,31468.2,11907.24,1902,1264.26,168.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
coral,5,5.18,1,64.01,8680.15,393.4,1653.45,61,75.22,7.67,246896.99,33306.2,26756.9,4572,1272.97,329,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
couch,5,9.58,6,25.4,10017.48,349.4,3901.66,61.5,786.95,4.67,183802.76,21889.6,21510.92,2682.75,2367.99,171,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
crabs,5,5.35,7,4.87,8100.11,587.6,488.41,52.25,66.33,9.67,214269.96,33067,7612.11,2157.25,539.48,213.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
crawl,5,8.21,3,1.13,6279.25,315.8,473.15,46.75,75.6,10.33,200735.78,27631.6,6090.11,1785,394.54,161.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
creep,5,8.69,4,4.97,9747.32,430.4,944.6,44,235.93,11.33,296137.57,41032.6,20558.58,2794,1802.08,260.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
crest,5,6.31,5,13.16,9807.67,329.8,1600,45.5,161.15,8,307348.13,42910.8,32969.9,6749.75,4456.88,1105.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
crews,5,5.71,6,2.6,8905.89,543.6,728.79,41,54.67,8.67,247374.42,36254.2,16781.94,2339.75,805.61,171.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
crook,5,5.35,4,1.64,5995.85,304.4,809.79,47.5,106.81,9.67,207385.5,26737.8,10173.92,1742.75,1553.71,245,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
crush,5,8.39,4,11.33,7692.9,289.4,581.9,39,70.92,6.67,197175.07,28747.2,9542.46,1878.75,495.48,185,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
crust,5,7.32,5,16.62,8770.34,315,1034.36,41.75,81.25,5.33,226671.88,33912.2,14517.57,2953.5,1537.47,258.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
cubic,5,5,2,1.67,3530.07,232.6,162.49,20.75,13.8,3.33,144582.58,24544.6,6824.34,1661,59.99,49.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
cured,5,9.82,5,5.45,9750.84,502,1087.44,102.75,94,13.67,233028.63,33025,29670.93,4501,2935.45,531.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
curls,5,6.78,8,1.13,8880.58,607,662.01,54.5,81.41,8.33,182242.09,32137.4,7115.44,1269.25,393.21,114,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
dated,5,9.04,10,8.42,9602.86,512.6,1980.28,101.75,429.89,15.67,325616.12,37188.6,30832.02,5771,4793.51,1361.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
dazed,5,7.14,10,4.66,8641.95,478.6,809.7,79.5,22.67,9.33,247755.31,29967.8,11684.88,2346,266.41,118.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
debts,5,7.73,1,0.65,6479.18,552.8,388.07,62.25,8.96,2.33,281983.55,36868.4,7907.98,1823.5,66.73,33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
deeds,5,5.18,8,26.23,8775.49,563.2,794.05,53,148.67,8.33,327824.97,44036.4,20208.46,3494.75,924.8,110.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
demon,5,6.13,3,4.88,4516.71,261.4,207.81,26.5,16.46,3.67,280052.47,34320.8,22836.97,3562,1107.38,267.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
derby,5,5.95,0,0,5220.93,350.6,232.48,30,9.92,2,215330.18,28735,23005.46,3951.25,1411.45,382.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
desks,5,8.63,1,1.73,5862.52,538,407.66,51.5,26.51,4.67,249257.8,38294.6,15252.29,4273.75,712.56,191.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
deter,5,6.66,3,22.88,9437.27,439,2825.47,82,782.47,9,368814.71,45142.2,33441.65,6303.5,3803.15,884.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
dimly,5,7.97,0,0,6434.93,344.8,406.11,33.75,8.29,1.33,164869.19,24546.4,10111.86,2107.25,74.11,24,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
disco,5,5.77,1,3.21,4266.8,242.4,96.42,19,7.93,2,235066.17,35276.6,17966.1,3428.25,1268.33,548,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
ditch,5,6.54,6,12.74,6232.83,264.8,1277.12,43.5,148.83,10.67,245074.17,28564,17546.22,2504.25,826.59,236.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
dizzy,5,5.59,2,0.45,3512.13,265.6,49.9,17.25,7.71,3.67,111471.21,16574.8,3562.19,1212,25.64,53.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
docks,5,6.72,11,7.39,7630.77,569,571.74,61.25,91.18,17.67,180208.25,26614,4934.34,1116.25,599.79,259.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
dolls,5,7.97,11,3,10077.72,625.4,676.17,73.75,185.14,21,218668.92,32812,10846.62,1808.75,747.47,195.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
downs,5,7.56,4,10.35,9261.08,582.8,515.03,47,39.05,6.33,226460.75,29838.6,9259.65,1489,1753.45,128.33,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
dread,5,9.82,5,28.65,8529.02,322.6,1268.3,43,496.25,8.67,295758.42,37416,25563.07,3059,3918.61,390,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
drill,5,9.82,6,1.79,8429.09,316.2,1725.65,53.75,433.09,9,210963.54,33525.4,14890.43,2882,2107.35,280,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
drown,5,5,5,48.2,5625.1,260,1019.51,44.75,306.69,10,222295.37,27536.4,10706.97,1397.75,1705.42,187.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
drums,5,8.51,4,7.27,7088.92,517.6,552.03,41,35.38,5.67,178732.74,28927.6,3396.1,914.75,183.5,126.67,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
ducks,5,6.9,13,1.61,4475.89,505,358.92,55.75,83.63,19.33,139164.04,23647.8,4113.91,934.75,758.57,224,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
dummy,5,8.92,5,5,2996.38,293.8,156.39,26.25,29.81,7.33,113900.92,15644.2,3164.88,654,125.69,69,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
dwarf,5,7.56,1,0.06,4996.24,231.8,706.52,26.5,48.7,3.67,195649.46,23046,13468.93,1540,657.39,95,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
eagle,5,7.56,0,0,9627.44,373.2,662.88,22,23.24,2,335681.13,42974.4,15167.45,2602.75,239.74,97,NaN,low,0,real,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
